name,date,stars,comment
RNRALEAH NEWUS•1 review,17 hours ago,0,"I love Fashion NovaI love Fashion Nova Date of experience: August 11, 2025"
FNFashion NovaCA•1 review,18 hours ago,0,"I love this site ❤️❤️Date of experience: August 11, 2025"
BFBenanecia FelderUS•1 review,18 hours ago,0,"Fast serviceFast service Date of experience: August 11, 2025"
ABAbrish BokhariUS•1 review,18 hours ago,0,"Don’t offer returns to original form of…Don’t offer returns to original form of payment and app/website is very laggy Date of experience: August 11, 2025"
JUJuUS•1 review,18 hours ago,0,"Fashion nova has allowed me to up my…Fashion nova has allowed me to up my fashion game without breaking the bank! The customer service is amazing and response is well within accepted limits.Date of experience: August 11, 2025"
MLMarvin LeeUS•1 review,19 hours ago,0,"Very good my experience Very good my experience Nice Date of experience: August 11, 2025"
AWAntonio WilliamsUS•1 review,19 hours ago,0,"Good fast Good fast Have a lot nice items Date of experience: August 11, 2025"
SWShana WoodwardUS•1 review,19 hours ago,0,"Read reviews before you buyI always get Fashion Nova clothes Date of experience: August 11, 2025"
EOEmily OliverosUS•1 review,19 hours ago,0,"Really good and easy to useReally good and easy to use Date of experience: August 11, 2025"
COCONSUELAUS•1 review,19 hours ago,0,"My first order wasn’t sent in enough…My first order wasn’t sent in enough time and I payed for two day shipping. I returned the clothes because I no longer needed them and was refunded with gift cards. Not a happy customer! Date of experience: August 11, 2025"
MDMagdalana DellyUS•1 review,19 hours ago,0,"I payed for two day shipping and it’s…I payed for two day shipping and it’s says it’s getting here later than expected Date of experience: August 11, 2025"
KTKimberly Thomas ThomasUS•1 review,20 hours ago,0,"Great clothesGreat clothes Date of experience: August 11, 2025"
TLTamara LondonUS•2 reviews,20 hours ago,0,"I love Fashion NovaI love Fashion Nova. The quality , price and clothing is great .Date of experience: August 11, 2025"
BMBrenda MerrionUS•1 review,20 hours ago,0,"Notification of product back in stock…Notification of product back in stock was great! I ordered immediately for that item. Easy!Date of experience: August 11, 2025"
VGVictoria g.US•1 review,20 hours ago,0,"Amazing as alwaysAmazing as always. Never been disappointed with fashion nova Date of experience: August 11, 2025"
DMDavine MurphyUS•2 reviews,A day ago,0,"Easy to find things I needed and a good…Easy to find things I needed and a good saleDate of experience: August 11, 2025"
NIniceladybUS•1 review,A day ago,0,"Great pieces!Great pieces! Date of experience: August 11, 2025"
ACAlica CBM•1 review,A day ago,0,"FN for the winFN never dissapoints, trendy quality Date of experience: August 11, 2025"
ABAshley BeasleyUS•2 reviews,A day ago,0,"I need to stop shopping because I don’t…I need to stop shopping because I don’t have any money but I can’t afford it right but I keep buying stuff and seeing everything that’s cute but I wish I could just get some thing free and i’ll do a review of it Date of experience: August 11, 2025"
AGAlexis GriffinUS•1 review,A day ago,0,"I wish they had a photo reviewsI wish they had reviews. I have to go to TikTok to see a photo review because every time I buy something it probably don’t fit cause they got numbers for everything. I bought one pair of jeans one time that was too small so I bought it again without even returning it because you can’t even return it to get your money back, I had to buy another pair of jeans, just a size of the same jeans mined you and they were still too tight as if it was the same ones that I bought the first time like, huh?Date of experience: August 11, 2025"
SBSashan BaileyJM•1 review,A day ago,0,"Wish I could cancel some orderWish I could cancel some order. Or change things and shipping address Date of experience: August 11, 2025"
CBCate BlasiusTZ•1 review,A day ago,0,"All clothes are beautiful what you see…All clothes are beautiful what you see is what you get Date of experience: August 11, 2025"
FNFashion NovaAU•1 review,A day ago,0,"Good customer service 💯Date of experience: August 11, 2025"
CLcleanUS•1 review,A day ago,0,"The best online shopping It was very helpful Date of experience: August 11, 2025"
JAJazzieUS•1 review,A day ago,0,"On Point !!!!!!Getting my items back in stock and having payment optionsDate of experience: August 11, 2025"
PGPerla GueyeUS•1 review,A day ago,0,"Like itLove fashion novaDate of experience: August 11, 2025"
FNFashion NovaUS•1 review,A day ago,0,"Great………..Date of experience: August 11, 2025"
KKKKJM•1 review,A day ago,0,"The qualitiy is good.Most of the clothes are true to the size chart and quality is guaranteed.Date of experience: August 11, 2025"
GOGershom OffiongUS•2 reviews,A day ago,0,"Experience with fashion nova I've had an amazing experience with fashion nova. I will order from this site again in the near future. Date of experience: August 11, 2025"
LBLASHARN BELTUS•1 review,A day ago,0,"The app is buggy for AndroidThe app is buggy for Android. Slow loading and delayed response. I had to hit items 2-3 times before they appeared to preview. Date of experience: August 11, 2025"
IBIrina BarrosUS•1 review,A day ago,0,"I love FashionNovaI love FashionNova. The quality is great 💯Date of experience: August 11, 2025"
LNLeticia NunezDO•1 review,A day ago,0,"I love the quality and always I can find the lasted fashion Is easy to buy here and the order always shipped at time Date of experience: August 11, 2025"
ACalex campbellUS•1 review,A day ago,0,"Photos make it look like you’re getting…Photos make it look like you’re getting a whole outfit when it’s just the shirt. FALSE ADVERTISING Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,A day ago,0,"The best store everThe best store ever Date of experience: August 11, 2025"
MRMuhammad ridhwan ahmadMY•1 review,A day ago,0,"Good productDate of experience: August 11, 2025"
DNDebbie NiangUS•1 review,A day ago,0,"Very convenientVery convenient Date of experience: August 11, 2025"
CSCassandra SkidanovUS•4 reviews,A day ago,0,"Been ordering from FN for yearsBeen ordering from FN for years. It's like 80% of my closet amd I always get compliments! Date of experience: August 01, 2025"
UNUkamska NwokoloCA•1 review,A day ago,0,"Very bad my first order was small Very bad my first order was small I spent 30 dollars to return when I ask for my refund I was told I can be refund I must buy things with it. That very bad I paid 85 dollars for the order plus the 30 dollars for return in total 115$  when my gift card came I only received 51 dollars. What a loss I only order this because I can leave my money im done with fashion Nova Shin is the best free return in that case you buy as many as you want. Date of experience: August 11, 2025"
AHAaliyah HenryUS•1 review,A day ago,0,"I literally ordered my thing and it…I literally ordered my thing and it keeps changing my shipping date when I needed it the next day Date of experience: August 10, 2025"
TTTiny ThomasUS•1 review,A day ago,0,"I am so pleased with all of my…I am so pleased with all of my purchases.  I have not had one bad experience at all.  I am tall and the pants gives me every inches and over that I need. Thank you FN for accommodating tall people.   🙌🏾🙌🏾🙌🏾Date of experience: August 10, 2025"
IBIBKUS•1 review,A day ago,0,"I see what I like and my girls and…I see what I like and my girls and everything we buy is nice.Date of experience: July 13, 2025"
MJMartha julissa MorenoUS•1 review,A day ago,0,"In love with everythingIn love with everything Date of experience: July 20, 2025"
MTMailayah ThaoUS•2 reviews,A day ago,0,"Love the fast shipment and the variety…Love the fast shipment and the variety of force m choices of clothesDate of experience: August 10, 2025"
RORoxeyTC•1 review,A day ago,0,"My Go to online store for good quality…My Go to online store for good quality clothing sandals n fashion jewelryDate of experience: February 08, 2025"
BGBonita GordonUS•4 reviews,A day ago,0,"Experience was pretty goodExperience was pretty good. I just don't like a lot of the shoes don't have 9 and a 1/2Date of experience: August 10, 2025"
BSB. Sim.US•5 reviews,1 days ago,0,"Love Fashion Nova!!Love Fashion Nova!!! The majority of my staple pieces (jeans, shirts, dresses) are purchased through them. The one time I had a shortage on my order, they resolved the issue in lightening speed! I will continue to give Fashion Nova my business.Date of experience: August 10, 2025"
KAkaaydoloo 💕US•1 review,1 days ago,0,"LOVE FASHION NOVADate of experience: August 09, 2025"
Shay FreemanUS•6 reviews,1 days ago,0,"The app is easy to navigateThe app is easy to navigate, the prices are always reasonable, the quality of the merchandise is great, and shipping is fast!Date of experience: August 08, 2025"
ASAnna SoniCA•2 reviews,2 days ago,0,"Always fun shopping hereDate of experience: August 10, 2025"
WMwalkiris mejiaUS•1 review,2 days ago,0,"The best online store fashion nova 😍😍😍😍😍Date of experience: August 10, 2025"
OHOra HarrisUS•1 review,2 days ago,0,"Overall easinessOverall easiness Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"More optionsDate of experience: August 10, 2025"
customerUS•3 reviews,2 days ago,0,"The clothes are top tier!!The clothes are top tier!!! Love itDate of experience: August 10, 2025"
BFBevelyn Fashion NovaUS•1 review,2 days ago,0,"I love quality clothes and I think you…I love quality clothes and I think you have one of the best designs and quality clothes ever Date of experience: August 10, 2025"
JAjaniceUS•3 reviews,2 days ago,0,"Still waiting on an order. Requested they refill…My order arrived in my location then sent to another location 20 miles away.  Contacted customer service was given new delivery date of Aug 8 and a 15.00 credit, really.  Then delivery date was changed to Aug 12 and package is in NY.   They asked me to contact them after the 8th now I am getting the run around.   I asked that they refill and resend.   These are school items.  I think I deserve a higher credit limit since nothing on their site is 15.00 and I am still waiting Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Great selectionGreat selection Date of experience: August 10, 2025"
SDShemar DavisUS•1 review,2 days ago,0,"Very good appGreat app love it. Date of experience: August 10, 2025"
JCJames CarltonUS•2 reviews,2 days ago,0,"I love Fashionova would like to become…I love Fashionova would like to become a model or partner.Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Love the outfitsLove the outfits Date of experience: August 10, 2025"
LBLianet BatistaUS•1 review,2 days ago,0,"Thank You Fashion Nova...Date of experience: August 10, 2025"
RORosaUS•2 reviews,2 days ago,0,"Love your clothesLove your clothes! Prices are a little high sometimes but worth it!Date of experience: August 10, 2025"
DVDylan vaughnUS•1 review,2 days ago,0,"Yea a 4 star I guessDate of experience: August 10, 2025"
TRTina RobinsonUS•1 review,2 days ago,0,"HappyGood serviceDate of experience: August 10, 2025"
SEShlisa EvansUS•1 review,2 days ago,0,"Outfit for every occasion Finding what l was looking for.Date of experience: August 10, 2025"
KLKianna LavenderUS•1 review,2 days ago,0,"Wonderful!!! Wonderful!!!Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Be careful when cashing outBe careful when cashing out, still haven’t received my money back from my last order that supposedly never went throughDate of experience: August 10, 2025"
NWNikeda WallerUS•1 review,2 days ago,0,"I love shopping on Fashion NovaI love shopping on Fashion Nova, they always have a wide variety in every category. The clothes are cute and for the most part true to fit. Fashion Nova has a customer for life.Date of experience: August 10, 2025"
SLSummer LoveUS•1 review,2 days ago,0,"Cute clothesEverything Date of experience: August 10, 2025"
KRKrisUS•1 review,2 days ago,0,"Vibes Fashion really gives me run way vibes. I always get complimented while wearing your items Date of experience: August 10, 2025"
ROROUS•7 reviews,2 days ago,0,"Perfect Fit for Tall Women and TeensFashion Nova has been such a pleasant surprise for me and my daughter. As a tall woman, I’ve always struggled to find clothes that fit my height without feeling too short or awkward—but Fashion Nova gets it right every time. The lengths are perfect, the cuts are flattering, and the fabrics feel comfortable and durable. My daughter loves how trendy and fun their styles are, and I appreciate that we can both shop in the same place and walk away happy. It’s rare to find a brand that caters to both of us so well. Between the fast shipping, great prices, and consistent sizing, Fashion Nova has truly earned a permanent spot in our closets.Date of experience: August 04, 2025"
SRSarai reyesMX•1 review,2 days ago,0,"Love everythingLove everything Date of experience: August 10, 2025"
ESEBONY STEPHENSONUS•1 review,2 days ago,0,"Love it they return policy worked fast…Love it they return policy worked fast which enables the consumer to reorder in a timely manner. Date of experience: August 10, 2025"
DBDoreen BlagecUS•1 review,2 days ago,0,"I love the materials of the products I…I love the materials of the products I get from you guys which always keeps me coming back for shopping. Date of experience: August 10, 2025"
JEJessicaUS•2 reviews,2 days ago,0,"Wast anble to use the cash app pay very…Wast anble to use the cash app pay very frustrating Date of experience: August 10, 2025"
HBHeather BettisUS•1 review,2 days ago,0,"Great quality and even better salesFashion Nova App is easy to navigate. I'm always pleased with the quality of the products. Pricing is reasonable. Date of experience: August 10, 2025"
FSFelicia ShepherdUS•1 review,2 days ago,0,"The jumpsuit I wanted was available in…The jumpsuit I wanted was available in my size I got 10% off the already 30% off price. The website is extremely user friendly I never have any issues finding the clothes that I like. Date of experience: August 10, 2025"
ABAsia BumpersUS•1 review,2 days ago,0,"I’m nice It was fun and easy Date of experience: August 10, 2025"
PLPayton LewisUS•1 review,2 days ago,0,"Too expensiveToo expensive Date of experience: August 10, 2025"
SHShandaUS•1 review,2 days ago,0,"You get what you pay for SomeClothes cheap others are nice Date of experience: August 10, 2025"
